问题id,问题文本,知识点名称,认知目标层次,知识点类型
5fde168cff05534c402af4eb,某工程队准备修建一条长3000m的盲道，由于采用新的施工方式，实际每天修建盲道的长度比原计划增加25%，结果提前2天完成这一任务，原计划每天修建盲道多少米？,列分式方程解决工程问题,应用,题型
5fde2a49ff05534c402af4fd,下列温度比-2℃低的是(   ) A.-3℃ B.-1℃ C.1℃ D.3℃,利用绝对值比较有理数的大小,理解,题型
5fde2b04ff05534c402af501,计算(-2a<sup>3</sup>)<sup>2</sup>÷a<sup>2</sup>的结果是(   ) A.-2a<sup>3</sup> B.-2a<sup>4</sup> C.4a<sup>3</sup> D.4a<sup>4</sup>,单项式除以单项式的运算法则,理解,知识点
5fde2b04ff05534c402af501,计算(-2a<sup>3</sup>)<sup>2</sup>÷a<sup>2</sup>的结果是(   ) A.-2a<sup>3</sup> B.-2a<sup>4</sup> C.4a<sup>3</sup> D.4a<sup>4</sup>,单项式除以单项式的运算,应用,题型
5fde2b04ff05534c402af501,计算(-2a<sup>3</sup>)<sup>2</sup>÷a<sup>2</sup>的结果是(   ) A.-2a<sup>3</sup> B.-2a<sup>4</sup> C.4a<sup>3</sup> D.4a<sup>4</sup>,积的乘方运算法则,理解,知识点
5fde2b25ff05534c402af502,设 $a=\sqrt7+2$ .则(   ) A.2＜a＜3 B.3＜a＜4 C.4＜a＜5 D.5＜a＜6,算术平方根的定义,应用,知识点
5fde2b25ff05534c402af502,设 $a=\sqrt7+2$ .则(   ) A.2＜a＜3 B.3＜a＜4 C.4＜a＜5 D.5＜a＜6,算术平方根的估算,应用,题型
5fde2bc7ff05534c402af503,一元二次方程x<sup>2</sup>-4x-8＝0的解是(   ) A. $x_1=-2+2\sqrt3$ ， $x_2=-2-2\sqrt3$  B. $x_1=2+2\sqrt3$ ， $x_2=2-2\sqrt3$  C. $x_1=2+2\sqrt2$ ， $x_2=2-2\sqrt2$  D. $x_1=2\sqrt3$ ， $x_2=-2\sqrt3$,选择合适方法解一元二次方程,分析,题型
5fde2bfaff05534c402af504,从马鸣、杨豪、陆畅、江宽四人中抽调两人参加“寸草心”志愿服务队，恰好抽到马鸣和杨豪的概率是(   ) A. $\frac1{12}$  B. $\frac18$  C. $\frac16$  D. $\frac12$,画树状图法求概率的一般步骤,理解,知识点
5fde2bfaff05534c402af504,从马鸣、杨豪、陆畅、江宽四人中抽调两人参加“寸草心”志愿服务队，恰好抽到马鸣和杨豪的概率是(   ) A. $\frac1{12}$  B. $\frac18$  C. $\frac16$  D. $\frac12$,用树状图法求概率,应用,题型
5fde2c5bff05534c402af505,《孙子算经》是中国古代重要的数学著作，成书大约在一千五百年前，其中一道题，原文是：“今三人共车，两车空；二人共车，九人步.问人与车各几何？”意思是：现有若干人和车，若每辆车乘坐3人，则空余两辆车；若每辆车乘坐2人，则有9人步行.问人与车各多少？设有x人，y辆车，可列方程组为(   ) A. $\left\{\begin{array}{l}\frac x3=y+2\\frac x2+9=y\end{array}\right.$  B. $\left\{\begin{array}{l}\frac x3=y-2\\frac{x-9}2=y\end{array}\right.$  C. $\left\{\begin{array}{l}\frac x3=y+2\\frac{x-9}2=y\end{array}\right.$  D. $\left\{\begin{array}{l}\frac x3=y-2\\frac x2-9=y\end{array}\right.$,列二元一次方程组解决和差倍分问题,应用,题型
5fdf6cbfff05534c402af5f6,计算 $\frac x{x-1}-\frac y{y-1}$ 的结果为(   ) A. $\frac{-x+y}{(x-1)(y-1)}$  B. $\frac{x-y}{(x-1)(y-1)}$  C. $\frac{-x-y}{(x-1)(y-1)}$  D. $\frac{x+y}{(x-1)(y-1)}$,分式的加减运算,应用,题型
5fdf6cbfff05534c402af5f6,计算 $\frac x{x-1}-\frac y{y-1}$ 的结果为(   ) A. $\frac{-x+y}{(x-1)(y-1)}$  B. $\frac{x-y}{(x-1)(y-1)}$  C. $\frac{-x-y}{(x-1)(y-1)}$  D. $\frac{x+y}{(x-1)(y-1)}$,分式的加减法则,理解,知识点
5fdf6d89ff05534c402af5f8,不等式2x+1＜0的解集是                .,解一元一次不等式,应用,题型
5fdf6d89ff05534c402af5f8,不等式2x+1＜0的解集是                .,一元一次不等式的解集与表示,理解,知识点
5fdf6da3ff05534c402af5f9,若a+b＝1，则a<sup>2</sup>-b<sup>2</sup>+2b-2＝              .,已知式子的值，求代数式的值,应用,题型
5fdf6da3ff05534c402af5f9,若a+b＝1，则a<sup>2</sup>-b<sup>2</sup>+2b-2＝              .,公式法的定义与步骤,理解,知识点
5fdf6e4f2f1117ead32af3cc,点( $(-\frac12，m)$ 和点(2，n)在直线y＝2x+b上，则m与n的大小关系是                .,一次函数的增减性与k的关系的应用,应用,题型
5fdf6e4f2f1117ead32af3cc,点( $(-\frac12，m)$ 和点(2，n)在直线y＝2x+b上，则m与n的大小关系是                .,一次函数的图象与性质,理解,知识点
5fdf70f72f1117ead32af3cd,计算： $\sqrt{(\frac13-\frac12)^2}+\frac{\sqrt2}2\times\frac1{\sqrt6}-\sin60^\circ$ .,二次根式的乘法法则,理解,知识点
5fdf70f72f1117ead32af3cd,计算： $\sqrt{(\frac13-\frac12)^2}+\frac{\sqrt2}2\times\frac1{\sqrt6}-\sin60^\circ$ .,利用特殊角的三角函数值进行计算,应用,题型
5fdf70f72f1117ead32af3cd,计算： $\sqrt{(\frac13-\frac12)^2}+\frac{\sqrt2}2\times\frac1{\sqrt6}-\sin60^\circ$ .,二次根式的加减法则,理解,知识点
5fdf70f72f1117ead32af3cd,计算： $\sqrt{(\frac13-\frac12)^2}+\frac{\sqrt2}2\times\frac1{\sqrt6}-\sin60^\circ$ .,特殊角的三角函数值,记忆,知识点
5lNak4vpmGIFGvDo0T2,有四张完全一样正面分别写有汉字“清”“风”“朗”“月”的卡片，将其背面朝上并洗匀，从中随机抽取一张，记下卡片正面上的汉字后放回，洗匀后再从中随机抽取一张，则抽取的两张卡片上的汉字相同的概率是 　            　．,用树状图法求概率,应用,题型
5XXVas6HX2VZgt7el3G,下列计算正确的是(   )A．a<sup>6</sup>÷a<sup>3</sup>＝a<sup>2</sup> B．a<sup>2</sup>+2a<sup>2</sup>＝3a<sup>2</sup>   C．（2a）<sup>3</sup>＝6a<sup>3</sup>D．（a+1）<sup>2</sup>＝a<sup>2</sup>+1,同底数幂的除法运算法则,理解,知识点
5XXVas6HX2VZgt7el3G,下列计算正确的是(   )A．a<sup>6</sup>÷a<sup>3</sup>＝a<sup>2</sup> B．a<sup>2</sup>+2a<sup>2</sup>＝3a<sup>2</sup>   C．（2a）<sup>3</sup>＝6a<sup>3</sup>D．（a+1）<sup>2</sup>＝a<sup>2</sup>+1,合并同类项定义与法则,理解,知识点
5XXVas6HX2VZgt7el3G,下列计算正确的是(   )A．a<sup>6</sup>÷a<sup>3</sup>＝a<sup>2</sup> B．a<sup>2</sup>+2a<sup>2</sup>＝3a<sup>2</sup>   C．（2a）<sup>3</sup>＝6a<sup>3</sup>D．（a+1）<sup>2</sup>＝a<sup>2</sup>+1,幂的乘方运算法则,理解,知识点
6eY21K9lGErxq0I607h,4的相反数是(   )A． $\frac14$  B． $-\frac14$  C．﹣4D．4,求相反数,应用,题型
6IhmXoWWsCEoDIL2051,已知二元一次方程组 $\left\{\begin{array}{l}x+2y=4\2x+y=5\end{array}\right.$ ，则x﹣y的值为 　                　．,选择合适方法解二元一次方程组,分析,题型
6KXrTg1sFbtvVQp5kMq,2023年全国高考报名人数约12910000人，数12910000用科学记数法表示为(   )A．0.1291×10<sup>8</sup>B．1.291×10<sup>7</sup>C．1.291×10<sup>8</sup>D．12.91×10<sup>7</sup>,用科学记数法表示数及递用还原数,应用,题型
6mZgFM1Q6jDdiHVA9nu,我国古代数学著作《九章算术》中记载了一个关于“方程”的问题：“今有牛五、羊二，直金十两，牛二、羊五，直金八两．问牛羊各直金几何？”译文：“今有牛5头，羊2头，共值金10两，牛2头，羊5头，共值金8两，问牛、羊每头各值金多少？”若设牛每头值金x两，羊每头值金y两，则可列方程组是(   )A． $\left\{\begin{array}{l}5x+2y=10\2x+5y=8\end{array}\right.$ B． $\left\{\begin{array}{l}2x+5y=10\5x+2y=8\end{array}\right.$    C． $\left\{\begin{array}{l}5x+5y=10\2x+5y=8\end{array}\right.$ D． $\left\{\begin{array}{l}5x+2y=10\2x+2y=8\end{array}\right.$,列二元一次方程组解决和差倍分问题,应用,题型
6RxtoDQDJdAJsueZFmN,在平面直角坐标系xOy中，若反比例函数y $=\frac kx$ （k≠0）的图象经过点A（﹣1，﹣2）和点B（2，m），则△AOB的面积为 　             　．,反比例函数图象中图形的面积问题,应用,题型
7a1vAnPDm4XwB5rPQmM,抛物线y＝ax<sup>2</sup>+bx+c（a，b，c为常数）的对称轴为x＝﹣2，过点（1，﹣2）和点（x<sub>0</sub>，y<sub>0</sub>），且c＞0．有下列结论：①a＜0；②对任意实数m都有：am<sup>2</sup>+bm≥4a﹣2b；③16a+c＞4b；④若x<sub>0</sub>＞﹣4，则y<sub>0</sub>＞c．其中正确结论的个数为(   )A．1个B．2个C．3个D．4个,抛物线中的最值问题,分析,题型
7a1vAnPDm4XwB5rPQmM,抛物线y＝ax<sup>2</sup>+bx+c（a，b，c为常数）的对称轴为x＝﹣2，过点（1，﹣2）和点（x<sub>0</sub>，y<sub>0</sub>），且c＞0．有下列结论：①a＜0；②对任意实数m都有：am<sup>2</sup>+bm≥4a﹣2b；③16a+c＞4b；④若x<sub>0</sub>＞﹣4，则y<sub>0</sub>＞c．其中正确结论的个数为(   )A．1个B．2个C．3个D．4个,"二次函数的图象与a,b,c的关系",分析,知识点
7a1vAnPDm4XwB5rPQmM,抛物线y＝ax<sup>2</sup>+bx+c（a，b，c为常数）的对称轴为x＝﹣2，过点（1，﹣2）和点（x<sub>0</sub>，y<sub>0</sub>），且c＞0．有下列结论：①a＜0；②对任意实数m都有：am<sup>2</sup>+bm≥4a﹣2b；③16a+c＞4b；④若x<sub>0</sub>＞﹣4，则y<sub>0</sub>＞c．其中正确结论的个数为(   )A．1个B．2个C．3个D．4个,二次函数的图象特征与系数关系的判断,分析,题型
7qHvpaljNGUxQRDty5y,先化简，再求值：（ $\frac a{a^2-b^2}-\frac1{a+b}$ ） $\div\frac b{a^2-2ab+b^2}$ ，其中a＝（ $\frac13$ ）<sup>﹣1</sup>，b＝（﹣2022）<sup>0</sup>．,负整数指数幂,记忆,知识点
7qHvpaljNGUxQRDty5y,先化简，再求值：（ $\frac a{a^2-b^2}-\frac1{a+b}$ ） $\div\frac b{a^2-2ab+b^2}$ ，其中a＝（ $\frac13$ ）<sup>﹣1</sup>，b＝（﹣2022）<sup>0</sup>．,分式的化简与求值,应用,题型
7qHvpaljNGUxQRDty5y,先化简，再求值：（ $\frac a{a^2-b^2}-\frac1{a+b}$ ） $\div\frac b{a^2-2ab+b^2}$ ，其中a＝（ $\frac13$ ）<sup>﹣1</sup>，b＝（﹣2022）<sup>0</sup>．,零指数幂,记忆,知识点
7TBISP4IowBZyTCeiLn,若两个相似三角形周长的比为1：4，则这两个三角形对应边的比是(   )A．1：2 B．1：4C．1：8 D．1：16,利用相似三角形的性质进行计算,理解,题型
7XTRu3cgTmrnjsEtu07,下列运算正确的是(   )A．2x<sup>4</sup>÷x<sup>3</sup>＝2x B．（x<sup>3</sup>）<sup>4</sup>＝x<sup>7</sup>C．x<sup>4</sup>+x<sup>3</sup>＝x<sup>7</sup>D．x<sup>3</sup>•x<sup>4</sup>＝x<sup>12</sup>,幂的乘方运算法则,理解,知识点
7XTRu3cgTmrnjsEtu07,下列运算正确的是(   )A．2x<sup>4</sup>÷x<sup>3</sup>＝2x B．（x<sup>3</sup>）<sup>4</sup>＝x<sup>7</sup>C．x<sup>4</sup>+x<sup>3</sup>＝x<sup>7</sup>D．x<sup>3</sup>•x<sup>4</sup>＝x<sup>12</sup>,同底数幂的除法运算法则,理解,知识点
7XTRu3cgTmrnjsEtu07,下列运算正确的是(   )A．2x<sup>4</sup>÷x<sup>3</sup>＝2x B．（x<sup>3</sup>）<sup>4</sup>＝x<sup>7</sup>C．x<sup>4</sup>+x<sup>3</sup>＝x<sup>7</sup>D．x<sup>3</sup>•x<sup>4</sup>＝x<sup>12</sup>,合并同类项定义与法则,理解,知识点
7XTRu3cgTmrnjsEtu07,下列运算正确的是(   )A．2x<sup>4</sup>÷x<sup>3</sup>＝2x B．（x<sup>3</sup>）<sup>4</sup>＝x<sup>7</sup>C．x<sup>4</sup>+x<sup>3</sup>＝x<sup>7</sup>D．x<sup>3</sup>•x<sup>4</sup>＝x<sup>12</sup>,同底数幂的乘法运算法则,理解,知识点
7Y38E3HPKOCp0tMLCdP,若关于x的一元二次方程x<sup>2</sup>﹣2mx+m<sup>2</sup>﹣4m﹣1＝0有两个实数根x<sub>1</sub>，x<sub>2</sub>，且（x<sub>1</sub>+2）（x<sub>2</sub>+2）﹣2x<sub>1</sub>x<sub>2</sub>＝17，则m＝(   )A．2或6B．2或8C．2D．6,用韦达定理求参数的值,应用,题型
7Y38E3HPKOCp0tMLCdP,若关于x的一元二次方程x<sup>2</sup>﹣2mx+m<sup>2</sup>﹣4m﹣1＝0有两个实数根x<sub>1</sub>，x<sub>2</sub>，且（x<sub>1</sub>+2）（x<sub>2</sub>+2）﹣2x<sub>1</sub>x<sub>2</sub>＝17，则m＝(   )A．2或6B．2或8C．2D．6,一元二次方程根的判别式,理解,知识点
7Y38E3HPKOCp0tMLCdP,若关于x的一元二次方程x<sup>2</sup>﹣2mx+m<sup>2</sup>﹣4m﹣1＝0有两个实数根x<sub>1</sub>，x<sub>2</sub>，且（x<sub>1</sub>+2）（x<sub>2</sub>+2）﹣2x<sub>1</sub>x<sub>2</sub>＝17，则m＝(   )A．2或6B．2或8C．2D．6,一元二次方程的根与系数的关系（韦达定理）,理解,知识点
8sIpu8io9m8rUuwxIpD,计算： $\frac{a^2-b^2}a\div$ （a $+\frac{b^2-2ab}a$ ）．,分式的混合运算,应用,题型
9jfUtizJKT4m1l23aUe,已知抛物线y＝ax<sup>2</sup>+bx+c（a，b，c是常数）开口向下，过A（﹣1，0），B（m，0）两点，且1＜m＜2．下列四个结论：①b＞0；②若m $=\frac32$ ，则3a+2c＜0；③若点M（x<sub>1</sub>，y<sub>1</sub>），N（x<sub>2</sub>，y<sub>2</sub>）在抛物线上，x<sub>1</sub>＜x<sub>2</sub>，且x<sub>1</sub>+x<sub>2</sub>＞1，则y<sub>1</sub>＞y<sub>2</sub>；④当a≤﹣1时，关于x的一元二次方程ax<sup>2</sup>+bx+c＝1必有两个不相等的实数根．其中正确的是 　                　（填写序号）．,二次函数与一元二次方程的关系,分析,知识点
9jfUtizJKT4m1l23aUe,已知抛物线y＝ax<sup>2</sup>+bx+c（a，b，c是常数）开口向下，过A（﹣1，0），B（m，0）两点，且1＜m＜2．下列四个结论：①b＞0；②若m $=\frac32$ ，则3a+2c＜0；③若点M（x<sub>1</sub>，y<sub>1</sub>），N（x<sub>2</sub>，y<sub>2</sub>）在抛物线上，x<sub>1</sub>＜x<sub>2</sub>，且x<sub>1</sub>+x<sub>2</sub>＞1，则y<sub>1</sub>＞y<sub>2</sub>；④当a≤﹣1时，关于x的一元二次方程ax<sup>2</sup>+bx+c＝1必有两个不相等的实数根．其中正确的是 　                　（填写序号）．,二次函数的图象特征与系数关系的判断,分析,题型
9jfUtizJKT4m1l23aUe,已知抛物线y＝ax<sup>2</sup>+bx+c（a，b，c是常数）开口向下，过A（﹣1，0），B（m，0）两点，且1＜m＜2．下列四个结论：①b＞0；②若m $=\frac32$ ，则3a+2c＜0；③若点M（x<sub>1</sub>，y<sub>1</sub>），N（x<sub>2</sub>，y<sub>2</sub>）在抛物线上，x<sub>1</sub>＜x<sub>2</sub>，且x<sub>1</sub>+x<sub>2</sub>＞1，则y<sub>1</sub>＞y<sub>2</sub>；④当a≤﹣1时，关于x的一元二次方程ax<sup>2</sup>+bx+c＝1必有两个不相等的实数根．其中正确的是 　                　（填写序号）．,利用二次函数的图象解决一元二次方程根的问题,分析,题型
9jfUtizJKT4m1l23aUe,已知抛物线y＝ax<sup>2</sup>+bx+c（a，b，c是常数）开口向下，过A（﹣1，0），B（m，0）两点，且1＜m＜2．下列四个结论：①b＞0；②若m $=\frac32$ ，则3a+2c＜0；③若点M（x<sub>1</sub>，y<sub>1</sub>），N（x<sub>2</sub>，y<sub>2</sub>）在抛物线上，x<sub>1</sub>＜x<sub>2</sub>，且x<sub>1</sub>+x<sub>2</sub>＞1，则y<sub>1</sub>＞y<sub>2</sub>；④当a≤﹣1时，关于x的一元二次方程ax<sup>2</sup>+bx+c＝1必有两个不相等的实数根．其中正确的是 　                　（填写序号）．,二次函数值的大小比较,分析,题型
9jfUtizJKT4m1l23aUe,已知抛物线y＝ax<sup>2</sup>+bx+c（a，b，c是常数）开口向下，过A（﹣1，0），B（m，0）两点，且1＜m＜2．下列四个结论：①b＞0；②若m $=\frac32$ ，则3a+2c＜0；③若点M（x<sub>1</sub>，y<sub>1</sub>），N（x<sub>2</sub>，y<sub>2</sub>）在抛物线上，x<sub>1</sub>＜x<sub>2</sub>，且x<sub>1</sub>+x<sub>2</sub>＞1，则y<sub>1</sub>＞y<sub>2</sub>；④当a≤﹣1时，关于x的一元二次方程ax<sup>2</sup>+bx+c＝1必有两个不相等的实数根．其中正确的是 　                　（填写序号）．,"二次函数的图象与a,b,c的关系",分析,知识点
9jfUtizJKT4m1l23aUe,已知抛物线y＝ax<sup>2</sup>+bx+c（a，b，c是常数）开口向下，过A（﹣1，0），B（m，0）两点，且1＜m＜2．下列四个结论：①b＞0；②若m $=\frac32$ ，则3a+2c＜0；③若点M（x<sub>1</sub>，y<sub>1</sub>），N（x<sub>2</sub>，y<sub>2</sub>）在抛物线上，x<sub>1</sub>＜x<sub>2</sub>，且x<sub>1</sub>+x<sub>2</sub>＞1，则y<sub>1</sub>＞y<sub>2</sub>；④当a≤﹣1时，关于x的一元二次方程ax<sup>2</sup>+bx+c＝1必有两个不相等的实数根．其中正确的是 　                　（填写序号）．,求抛物线的顶点、对称轴,应用,题型
9PGqeJQ8QvXHgF1jX35,$-\frac32$ 的绝对值是(   )A． $-\frac23$  B． $-\frac32$  C． $\frac23$  D． $\frac32$,求绝对值,应用,题型
045yYpfqMjtPCASlSYp,若七边形的内角中有一个角为100°，则其余六个内角之和为 　                   ．,多边形的内角和,记忆,知识点
045yYpfqMjtPCASlSYp,若七边形的内角中有一个角为100°，则其余六个内角之和为 　                   ．,多边形中的角的计算,应用,题型
25dsuDWxKjVA2dctJfo,某学校开设了劳动教育课程．小明从感兴趣的“种植”“烹饪”“陶艺”“木工”4门课程中随机选择一门学习，每门课程被选中的可能性相等．小明恰好选中“烹饪”的概率为(   )A． $\frac18$  B． $\frac16$  C． $\frac14$  D． $\frac12$,利用概率的定义求概率,应用,题型
29WpdFOxeOTMoZ49mvc,若点A（﹣2，y<sub>1</sub>），B（﹣1，y<sub>2</sub>）都在反比例函数y $=\frac2x$ 的图象上，则y<sub>1</sub>，y<sub>2</sub>的大小关系是(   )A．y<sub>1</sub>＜y<sub>2</sub>B．y<sub>1</sub>＝y<sub>2</sub> C．y<sub>1</sub>＞y<sub>2</sub>D．不能确定,反比例函数值的大小比较,应用,题型
29WpdFOxeOTMoZ49mvc,若点A（﹣2，y<sub>1</sub>），B（﹣1，y<sub>2</sub>）都在反比例函数y $=\frac2x$ 的图象上，则y<sub>1</sub>，y<sub>2</sub>的大小关系是(   )A．y<sub>1</sub>＜y<sub>2</sub>B．y<sub>1</sub>＝y<sub>2</sub> C．y<sub>1</sub>＞y<sub>2</sub>D．不能确定,反比例函数的图象与性质,理解,知识点
61a1e08f4df6eb0e55e82627,﹣ $\frac23$ 的相反数是(   ) A． $\frac32$  B． $\frac23$  C．﹣ $\frac23$  D．﹣ $\frac32$,求相反数,应用,题型
61a1e15828dac08ee2e8286c,下列计算正确的是(   ) A． $\sqrt2$ + $\sqrt3$ ＝ $\sqrt5$  B． $\sqrt{(-3)^2}$ ＝±3 C．a•a<sup>﹣1</sup>＝1（a≠0） D．（﹣3a<sup>2</sup>b<sup>2</sup>）<sup>2</sup>＝﹣6a<sup>4</sup>b<sup>4</sup>,同底数幂的运算,应用,题型
61a1e15828dac08ee2e8286c,下列计算正确的是(   ) A． $\sqrt2$ + $\sqrt3$ ＝ $\sqrt5$  B． $\sqrt{(-3)^2}$ ＝±3 C．a•a<sup>﹣1</sup>＝1（a≠0） D．（﹣3a<sup>2</sup>b<sup>2</sup>）<sup>2</sup>＝﹣6a<sup>4</sup>b<sup>4</sup>,实数的运算,应用,题型
61a1e15828dac08ee2e8286c,下列计算正确的是(   ) A． $\sqrt2$ + $\sqrt3$ ＝ $\sqrt5$  B． $\sqrt{(-3)^2}$ ＝±3 C．a•a<sup>﹣1</sup>＝1（a≠0） D．（﹣3a<sup>2</sup>b<sup>2</sup>）<sup>2</sup>＝﹣6a<sup>4</sup>b<sup>4</sup>,积的乘方的运算,应用,题型
61a1e15828dac08ee2e8286c,下列计算正确的是(   ) A． $\sqrt2$ + $\sqrt3$ ＝ $\sqrt5$  B． $\sqrt{(-3)^2}$ ＝±3 C．a•a<sup>﹣1</sup>＝1（a≠0） D．（﹣3a<sup>2</sup>b<sup>2</sup>）<sup>2</sup>＝﹣6a<sup>4</sup>b<sup>4</sup>,求一个数的算术平方根,应用,题型
61a1e15828dac08ee2e8286c,下列计算正确的是(   ) A． $\sqrt2$ + $\sqrt3$ ＝ $\sqrt5$  B． $\sqrt{(-3)^2}$ ＝±3 C．a•a<sup>﹣1</sup>＝1（a≠0） D．（﹣3a<sup>2</sup>b<sup>2</sup>）<sup>2</sup>＝﹣6a<sup>4</sup>b<sup>4</sup>,负整数指数幂,记忆,知识点
61a1e1af4df6eb0e55e82628,在反比例函数y＝ $\frac{k^2+1}x$ （k为常数）上有三点A（x<sub>1</sub>，y<sub>1</sub>），B（x<sub>2</sub>，y<sub>2</sub>），C（x<sub>3</sub>，y<sub>3</sub>），若x<sub>1</sub>＜0＜x<sub>2</sub>＜x<sub>3</sub>，则y<sub>1</sub>，y<sub>2</sub>，y<sub>3</sub>的大小关系为(   ) A．y<sub>1</sub>＜y<sub>2</sub>＜y<sub>3</sub> B．y<sub>2</sub>＜y<sub>1</sub>＜y<sub>3</sub> C．y<sub>1</sub>＜y<sub>3</sub>＜y<sub>2</sub> D．y<sub>3</sub>＜y<sub>2</sub>＜y<sub>1</sub>,反比例函数值的大小比较,应用,题型
61a1e1e228dac08ee2e82871,以下命题是假命题的是(   ) A． $\sqrt4$ 的算术平方根是2 B．有两边相等的三角形是等腰三角形 C．一组数据：3，﹣1，1，1，2，4的中位数是1.5 D．过直线外一点有且只有一条直线与已知直线平行,命题的真假判断,分析,题型
61a1e1e228dac08ee2e82871,以下命题是假命题的是(   ) A． $\sqrt4$ 的算术平方根是2 B．有两边相等的三角形是等腰三角形 C．一组数据：3，﹣1，1，1，2，4的中位数是1.5 D．过直线外一点有且只有一条直线与已知直线平行,平行线的判定方法,记忆,知识点
61a1e1e228dac08ee2e82871,以下命题是假命题的是(   ) A． $\sqrt4$ 的算术平方根是2 B．有两边相等的三角形是等腰三角形 C．一组数据：3，﹣1，1，1，2，4的中位数是1.5 D．过直线外一点有且只有一条直线与已知直线平行,中位数,记忆,知识点
61a1e1e228dac08ee2e82871,以下命题是假命题的是(   ) A． $\sqrt4$ 的算术平方根是2 B．有两边相等的三角形是等腰三角形 C．一组数据：3，﹣1，1，1，2，4的中位数是1.5 D．过直线外一点有且只有一条直线与已知直线平行,算术平方根的定义,记忆,知识点
61a1e1e228dac08ee2e82871,以下命题是假命题的是(   ) A． $\sqrt4$ 的算术平方根是2 B．有两边相等的三角形是等腰三角形 C．一组数据：3，﹣1，1，1，2，4的中位数是1.5 D．过直线外一点有且只有一条直线与已知直线平行,等腰三角形的判定定理,理解,知识点
61a1e2e728dac08ee2e82878,"截至2020年末，达州市金融精准扶贫共计392.5亿元，居全省第2，惠及建档立卡贫困户8.96万人,将392.5亿元用科学记数法表示应为             元．",用科学记数法表示数及递用还原数,应用,题型
61a1e2e728dac08ee2e82878,"截至2020年末，达州市金融精准扶贫共计392.5亿元，居全省第2，惠及建档立卡贫困户8.96万人,将392.5亿元用科学记数法表示应为             元．",科学记数法的定义,记忆,知识点
61a1e3cf28dac08ee2e8287d,已知a，b满足等式a<sup>2</sup>+6a+9+ $\sqrt{b-\frac13}$ ＝0，则a<sup>2021</sup>b<sup>2020</sup>＝                ．,完全平方公式的定义,记忆,知识点
61a1e3cf28dac08ee2e8287d,已知a，b满足等式a<sup>2</sup>+6a+9+ $\sqrt{b-\frac13}$ ＝0，则a<sup>2021</sup>b<sup>2020</sup>＝                ．,实数非负性的应用,应用,题型
61a1e3cf28dac08ee2e8287d,已知a，b满足等式a<sup>2</sup>+6a+9+ $\sqrt{b-\frac13}$ ＝0，则a<sup>2021</sup>b<sup>2020</sup>＝                ．,幂的综合运算,应用,题型
61a1e45628dac08ee2e8287f,若分式方程 $\frac{2x-a}{x-1}$ ﹣4＝ $\frac{-2x+a}{x+1}$ 的解为整数，则整数a＝              ．,解分式方程,应用,题型
61a1e54128dac08ee2e82883,计算：﹣1<sup>2</sup>+（π﹣2021）<sup>0</sup>+2sin60°﹣|1﹣ $\sqrt3$ |．,特殊角的三角函数值,记忆,知识点
61a1e54128dac08ee2e82883,计算：﹣1<sup>2</sup>+（π﹣2021）<sup>0</sup>+2sin60°﹣|1﹣ $\sqrt3$ |．,实数的运算,应用,题型
61a1e54128dac08ee2e82883,计算：﹣1<sup>2</sup>+（π﹣2021）<sup>0</sup>+2sin60°﹣|1﹣ $\sqrt3$ |．,零指数幂,记忆,知识点
61a1e59028dac08ee2e82885,化简求值：（1﹣ $\frac{3a-10}{a-2}$ ）÷( $\frac{a-4}{a^2-4a+4}$ )，其中a与2，3构成三角形的三边，且a为整数．,三角形的三边关系,理解,知识点
61a1e59028dac08ee2e82885,化简求值：（1﹣ $\frac{3a-10}{a-2}$ ）÷( $\frac{a-4}{a^2-4a+4}$ )，其中a与2，3构成三角形的三边，且a为整数．,分式的化简与求值,应用,题型
61a1ec4028dac08ee2e828a0,第七次全国人口普查显示，我国人口已达到141178万．把这个数据用科学记数法表示为(   ) A．1.41178×10<sup>7</sup> B．1.41178×10<sup>8</sup> C．1.41178×10<sup>9</sup> D．1.41178×10<sup>10</sup>,用科学记数法表示数及递用还原数,应用,题型
61a1ec4028dac08ee2e828a0,第七次全国人口普查显示，我国人口已达到141178万．把这个数据用科学记数法表示为(   ) A．1.41178×10<sup>7</sup> B．1.41178×10<sup>8</sup> C．1.41178×10<sup>9</sup> D．1.41178×10<sup>10</sup>,科学记数法的定义,记忆,知识点
61a1ec5d28dac08ee2e828a1,下列运算正确的是(   ) A．a<sup>3</sup>+a<sup>4</sup>＝a<sup>7</sup> B．a<sup>3</sup>•a<sup>4</sup>＝a<sup>12</sup> C．（a<sup>3</sup>）<sup>4</sup>＝a<sup>7</sup> D．（﹣2a<sup>3</sup>）<sup>4</sup>＝16a<sup>12</sup>,积的乘方运算法则,理解,知识点
61a1ec5d28dac08ee2e828a1,下列运算正确的是(   ) A．a<sup>3</sup>+a<sup>4</sup>＝a<sup>7</sup> B．a<sup>3</sup>•a<sup>4</sup>＝a<sup>12</sup> C．（a<sup>3</sup>）<sup>4</sup>＝a<sup>7</sup> D．（﹣2a<sup>3</sup>）<sup>4</sup>＝16a<sup>12</sup>,幂的乘方运算法则,理解,知识点
